id;name;address;zip;city_hotel;cc1;ufi;class;currencycode;minrate;maxrate;preferred;nr_rooms;public_ranking;hotel_url;city_unique;city_preferred;review_score;review_nr;;;;;;;;;;;;;;;;;
1949417;Apartament Sopot Króla Jana;Króla Jana Kazimierza 5 8;81-742;Sopot;pl;-529430;0;PLN;;;;1;1;http://www.mishoteles.com/hotel/pl/apartament-sopot-krola-jana.html;sopot;Sopot;1;1;;;;;;;;;;;;;;;;;
2023862;Apartamento Navas;Calle Navas 29,3ºA;18009;Granada;es;-384328;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/es/apartamento-navas.html;granada;Granada;1;1;;;;;;;;;;;;;;;;;
1967734;Remisens Hotel Giorgio II;Liburnijska bb;51414;Ičići;hr;-82869;4;EUR;;;;180;1;http://www.mishoteles.com/hotel/hr/remisens-giorgio-ii.html;icici;Ičići;1;1;;;;;;;;;;;;;;;;;
1956718;La Bella Vista;92 Via Lido;92019;Sciacca;it;-129259;0;EUR;135;;;1;1;http://www.mishoteles.com/hotel/it/la-bella-vista.html;sciacca;Sciacca;1;1;;;;;;;;;;;;;;;;;
1950516;Casa Marina;Real, 88;29788;Frigiliana;es;-383025;0;EUR;70;;;1;1;http://www.mishoteles.com/hotel/es/casa-marina-frigiliana.html;frigiliana;Frigiliana;1;1;;;;;;;;;;;;;;;;;
1945468;Apartment Bagrationi 140;140 Bagrationi Street Entrance 1, Floor 10;6010;Batumi;ge;900049585;0;GEL;100;;;1;1;http://www.mishoteles.com/hotel/ge/bagrationi-140.html;batumi-ge;Batumi;1;1;;;;;;;;;;;;;;;;;
1995626;Casa Mari Caldelas;Gallos 23;36729;Caldelas;es;-375015;0;EUR;30;;;1;1;http://www.mishoteles.com/hotel/es/casa-mari-caldelas.html;caldelas-es;Caldelas;1;1;;;;;;;;;;;;;;;;;
1995233;B&B Hôtel Moulins;Parc logistique d'activités RN7 - ZAC des Gris;3400;Toulon-sur-Allier;fr;-1473160;0;EUR;49;;;72;1;http://www.mishoteles.com/hotel/fr/b-amp-b-moulins.html;toulon-sur-allier;Toulon-sur-Allier;1;1;;;;;;;;;;;;;;;;;
1934199;Apartments Svetlanovskiy;Светлановский проспект дом 103, кв.169;190000;Saint Petersburg;ru;-2996338;0;RUB;2250;;;1;1;http://www.mishoteles.com/hotel/ru/apartments-svetlanovskiy.html;saint-petersburg;Saint Petersburg;1;1;;;;;;;;;;;;;;;;;
2038418;Ca la Mati;Calle Afueras S/N 13;44588;Beceite;es;-372960;0;EUR;112;;;1;1;http://www.mishoteles.com/hotel/es/ca-la-mati.html;beceite;Beceite;1;1;;;;;;;;;;;;;;;;;
